Partlist

Exported from aleph.brd at 8/13/13 12:54 PM

EAGLE Version 6.4.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package          Library               Position (inch)       Orientation

3V3      TPS-SMD-15R        SMD-15R          testpoint             (4.475 2.725)         R0
3V3C     TPS-SMD-15R        SMD-15R          testpoint             (4.475 2.625)         R0
5V       TPS-SMD-15R        SMD-15R          testpoint             (4.475 2.825)         R0
BM1      DNP                R0603            rc-master-smd         (3.3 1.05)            R90
BM2      0                  R0603            rc-master-smd         (3.375 1.05)          R90
C1       2.2u               C1206            rc-master-smd         (6.525 3.9)           R90
C2       100n               C0603            rc-master-smd         (13.8 3.775)          R180
C3       4.7u               C1206/T          rc-master-smd         (4.05 3.625)          R90
C4       100n               C0603            rc-master-smd         (4.15 3.625)          R90
C5       10u                C1206/T          rc-master-smd         (5.4 3.5125)          R270
C6       100n               C1206            rc-master-smd         (5.225 3.4625)        R180
C7       68u                C1206/T          rc-master-smd         (0.25 3.325)          R180
C8       10u                C1206/T          rc-master-smd         (0.45 3.325)          R0
C9       68u                C1206/T          rc-master-smd         (0.7 3.325)           R180
C10      4.7u               C1206/T          rc-master-smd         (6.7 3.325)           R180
C11      100p               C0603            rc-master-smd         (1.075 3.3)           R90
C12      100p               C0603            rc-master-smd         (1.575 3.3)           R90
C13      1u                 C0603            rc-master-smd         (4.4875 3.25)         R270
C14      10u                C1206/T          rc-master-smd         (3.5625 3.2375)       R90
C15      100n               C0603            rc-master-smd         (0.45 3.225)          R0
C16      680p               C0603            rc-master-smd         (2.175 3.2)           R90
C17      100n               C0603            rc-master-smd         (2.45 3.175)          R180
C18      120p               C0603            rc-master-smd         (2.6 3.175)           R0
C19      100n               C0603            rc-master-smd         (2.9 3.175)           R180
C20      120p               C0603            rc-master-smd         (3.05 3.175)          R0
C21      100p               C0603            rc-master-smd         (1.925 3.125)         R180
C22      220p               C0603            rc-master-smd         (2.0625 3.125)        R180
C23      100n               C1206            rc-master-smd         (3.95 3.125)          R270
C24      10u                C1206/T          rc-master-smd         (4.075 3.125)         R270
C25      10u                C1206/T          rc-master-smd         (1.725 3.05)          R270
C26      100n               C0603            rc-master-smd         (0.2125 3.025)        R0
C27      10n                C0603            rc-master-smd         (5.675 3.05)          R0
C28      47u                C1206/T          rc-master-smd         (5.9 2.975)           R0
C29      8p                 C0603            rc-master-smd         (4.7 2.925)           R180
C30      8p                 C0603            rc-master-smd         (4.875 2.925)         R0
C31      1u                 C0603            rc-master-smd         (0.2125 2.9125)       R0
C32      100n               C0603            rc-master-smd         (0.45 2.9125)         R0
C33      1u                 C0603            rc-master-smd         (0.6875 2.9125)       R180
C34      10u                C1206/T          rc-master-smd         (4.075 2.875)         R90
C35      10u                C1206/T          rc-master-smd         (1.725 2.8)           R90
C36      680p               C0603            rc-master-smd         (2.175 2.8)           R90
C37      120p               C0603            rc-master-smd         (2.45 2.775)          R0
C38      100p               C0603            rc-master-smd         (2.6 2.775)           R0
C39      120p               C0603            rc-master-smd         (2.9 2.775)           R0
C40      100p               C0603            rc-master-smd         (3.05 2.775)          R0
C41      100p               C0603            rc-master-smd         (1.925 2.725)         R180
C42      220p               C0603            rc-master-smd         (2.0625 2.725)        R180
C43      1u                 C0603            rc-master-smd         (8.175 2.65)          R270
C44      1u                 C0603            rc-master-smd         (8.25 2.65)           R270
C45      10u                C1206/T          rc-master-smd         (8.55 2.6)            R90
C46      10u                C1206/T          rc-master-smd         (8.675 2.6)           R90
C47      10n                C0603            rc-master-smd         (11.825 2.6)          R90
C48      10n                C0603            rc-master-smd         (12.325 2.6)          R90
C49      10n                C0603            rc-master-smd         (12.825 2.6)          R90
C50      10n                C0603            rc-master-smd         (13.325 2.6)          R90
C51      100u               C1210/T          rc-master-smd         (3.325 2.575)         R270
C52      100u               C1210/T          rc-master-smd         (4.2 2.475)           R270
C53      100n               C0603            rc-master-smd         (9.6 2.45)            R0
C54      10u                C1206/T          rc-master-smd         (9.8 2.45)            R180
C55      100n               C0603            rc-master-smd         (10.4 2.45)           R0
C56      10u                C1206/T          rc-master-smd         (10.6 2.45)           R180
C57      10u                C1206/T          rc-master-smd         (9.375 2.425)         R270
C58      10u                C1206/T          rc-master-smd         (10.175 2.425)        R270
C59      100p               C0603            rc-master-smd         (9.8 2.3)             R270
C60      100p               C0603            rc-master-smd         (10.6 2.3)            R270
C61      100p               C0603            rc-master-smd         (1.425 2.175)         R180
C62      120p               C0603            rc-master-smd         (1.575 2.175)         R180
C63      10u                C1206/T          rc-master-smd         (9.775 2.125)         R0
C64      10u                C1206/T          rc-master-smd         (10.575 2.125)        R0
C65      10u                C1206/T          rc-master-smd         (0.5 2.075)           R0
C66      10u                C1206/T          rc-master-smd         (0.75 2.075)          R180
C67      100n               C0603            rc-master-smd         (1.9625 2.075)        R90
C68      100n               C0603            rc-master-smd         (14.175 2.05)         R0
C69      10u                C1206/T          rc-master-smd         (2.3125 2.025)        R0
C70      10u                C1206/T          rc-master-smd         (14.175 1.95)         R0
C71      100n               C0603            rc-master-smd         (2.3125 1.925)        R0
C72      100p               C0603            rc-master-smd         (0.425 1.875)         R90
C73      100p               C0603            rc-master-smd         (0.825 1.875)         R90
C74      10u                C1206/T          rc-master-smd         (7.975 1.85)          R0
C75      10u                C1206/T          rc-master-smd         (8.45 1.85)           R0
C76      100n               C0603            rc-master-smd         (8.225 1.825)         R0
C77      120p               C0603            rc-master-smd         (1.425 1.775)         R180
C78      100n               C0603            rc-master-smd         (1.575 1.775)         R0
C79      47u                C1206/T          rc-master-smd         (2.075 1.775)         R270
C80      100n               C0603            rc-master-smd         (2.175 1.775)         R270
C81      10u                C1206/T          rc-master-smd         (11 1.775)            R0
C82      10u                C1206/T          rc-master-smd         (9.175 1.75)          R180
C83      10u                C1206/T          rc-master-smd         (9.825 1.75)          R180
C84      10u                C1206/T          rc-master-smd         (10.475 1.75)         R180
C85      220p               C0603            rc-master-smd         (0.425 1.7375)        R90
C86      220p               C0603            rc-master-smd         (0.825 1.7375)        R90
C87      100p               C0603            rc-master-smd         (7.95 1.725)          R90
C88      100p               C0603            rc-master-smd         (8.425 1.7)           R90
C89      100n               C0603            rc-master-smd         (11 1.675)            R0
C90      100n               C0603            rc-master-smd         (9.325 1.65)          R180
C91      100n               C0603            rc-master-smd         (9.975 1.65)          R180
C92      100n               C0603            rc-master-smd         (10.625 1.65)         R180
C93      680p               C0603            rc-master-smd         (0.5 1.625)           R0
C94      680p               C0603            rc-master-smd         (0.9 1.625)           R0
C95      100n               C0603            rc-master-smd         (11.275 1.5)          R0
C96      100p               C0603            rc-master-smd         (1.425 1.475)         R180
C97      120p               C0603            rc-master-smd         (1.575 1.475)         R180
C98      100n               C0603            rc-master-smd         (11.775 1.475)        R180
C99      100n               C0603            rc-master-smd         (13.175 1.475)        R180
C100     10u                C1206/T          rc-master-smd         (8.1 1.45)            R0
C101     10u                C1206/T          rc-master-smd         (8.35 1.45)           R180
C102     390p               C0603            rc-master-smd         (2.1 1.4125)          R90
C103     5600p              C0603            rc-master-smd         (2.175 1.4125)        R90
C104     100n               C0603            rc-master-smd         (11.125 1.25)         R90
C105     10u                C1206/T          rc-master-smd         (11.225 1.2)          R90
C106     120p               C0603            rc-master-smd         (1.425 1.075)         R180
C107     100n               C0603            rc-master-smd         (1.575 1.075)         R0
C108     100n               C0603            rc-master-smd         (8.05 1.05)           R270
C109     100n               C0603            rc-master-smd         (8.6 1.05)            R270
C110     100n               C0603            rc-master-smd         (8.325 0.9)           R180
C111     100n               C0603            rc-master-smd         (4.65 0.6)            R180
C112     1u                 C0603            rc-master-smd         (12.025 0.55)         R0
C113     1u                 C0603            rc-master-smd         (1.825 0.45)          R0
C114     100n               C0603            rc-master-smd         (14.35 0.45)          R0
C115     100n               C0603            rc-master-smd         (11.725 0.425)        R180
C116     1u                 C0603            rc-master-smd         (8.85 0.35)           R270
C117     1u                 C0603            rc-master-smd         (9.65 0.35)           R270
C118     1u                 C0603            rc-master-smd         (10.45 0.35)          R270
C119     1u                 C0603            rc-master-smd         (11.25 0.35)          R270
C120     10u                C1206/T          rc-master-smd         (14.35 0.35)          R0
C121     100n               C0603            rc-master-smd         (12.475 0.275)        R180
C122     100n               C0603            rc-master-smd         (13.875 0.275)        R180
C123     100n               C0603            rc-master-smd         (4.45 0.25)           R90
C124     1u                 C0603            rc-master-smd         (1.825 0.075)         R0
C125     10n                C0603            rc-master-smd         (4.4375 0.4875)       MR270
C126     10n                C0603            rc-master-smd         (4.025 0.4875)        MR270
C127     10n                C0603            rc-master-smd         (3.8625 0.4875)       MR270
C128     10n                C0603            rc-master-smd         (3.6875 0.4875)       MR270
C129     10n                C0603            rc-master-smd         (3.6125 0.4875)       MR270
C130     100n               C0603            rc-master-smd         (2.7 0.65)            MR180
C131     10u                C1206/T          rc-master-smd         (2.7 0.75)            MR0
C132     10n                C0603            rc-master-smd         (3.9625 0.95)         MR270
C133     10n                C0603            rc-master-smd         (3.8 0.95)            MR270
C134     1n                 C0603            rc-master-smd         (1.55 1.2)            MR270
C135     100p               C0603            rc-master-smd         (1.625 1.275)         MR270
C136     100n               C0603            rc-master-smd         (3.75 1.35)           MR270
C137     100n               C0603            rc-master-smd         (3.675 1.35)          MR270
C138     10n                C0603            rc-master-smd         (3.6 1.35)            MR270
C139     100n               C0603            rc-master-smd         (3.525 1.35)          MR270
C140     10n                C0603            rc-master-smd         (3.45 1.35)           MR270
C141     1n                 C0603            rc-master-smd         (1.55 1.35)           MR270
C142     10n                C0603            rc-master-smd         (2.8125 1.375)        MR0
C143     10u                C1206/T          rc-master-smd         (3.325 1.4)           MR270
C144     100n               C0603            rc-master-smd         (2.375 1.4125)        MR0
C145     10u                C1206/T          rc-master-smd         (3.95 1.425)          MR180
C146     18p                C0603            rc-master-smd         (5.35 1.475)          MR0
C147     18p                C0603            rc-master-smd         (5.2 1.475)           MR180
C148     100n               C0603            rc-master-smd         (2.6 1.4875)          MR90
C149     4.7u               C1206/T          rc-master-smd         (1.525 1.5)           MR180
C150     100n               C0603            rc-master-smd         (2.2625 1.525)        MR90
C151     10n                C0603            rc-master-smd         (4 1.55)              MR180
C152     10n                C0603            rc-master-smd         (3.25 1.575)          MR0
C153     4.7u               C1206            rc-master-smd         (5.3 1.6125)          MR180
C154     100n               C0603            rc-master-smd         (4 1.625)             MR180
C155     100n               C0603            rc-master-smd         (3.25 1.65)           MR0
C156     10n                C0603            rc-master-smd         (6.125 1.675)         MR0
C157     100n               C0603            rc-master-smd         (4 1.7)               MR0
C158     100n               C0603            rc-master-smd         (2.6875 1.7)          MR270
C159     100n               C0603            rc-master-smd         (3.25 1.725)          MR0
C160     100n               C0603            rc-master-smd         (2.2625 1.725)        MR270
C161     2.2u               C1206            rc-master-smd         (4.8875 1.775)        MR90
C162     100n               C0603            rc-master-smd         (2.3875 1.8375)       MR180
C163     33n                C0603            rc-master-smd         (5.55 1.85)           MR0
C164     100n               C0603            rc-master-smd         (5.375 1.85)          MR90
C165     33n                C0603            rc-master-smd         (5.3 1.85)            MR90
C166     2.7n               C0603            rc-master-smd         (5.15 1.85)           MR90
C167     33n                C0603            rc-master-smd         (5.075 1.85)          MR90
C168     33n                C0603            rc-master-smd         (4.7 1.85)            MR0
C169     10u                C1206/T          rc-master-smd         (3.3 1.875)           MR0
C170     1n                 C0603            rc-master-smd         (1.55 1.9)            MR270
C171     100n               C0603            rc-master-smd         (0.625 1.9)           MR180
