Partlist

Exported from aleph-primary130315.brd at 8/9/13 7:08 PM

EAGLE Version 6.4.0 Copyright (c) 1988-2013 CadSoft

Part     Value              Package          Library               Position (inch)       Orientation

smd

BM0      0                  R0603            rc-master-smd         (3.35 1.125)          R90
BM1      DNP                R0603            rc-master-smd         (3.275 1.125)         R90

C1       100n               C0603            rc-master-smd         (4.425 0.275)         R90
C2       100n               C1206            rc-master-smd         (3.925 3.2)           R270
C3       10u                C1206/T          rc-master-smd         (4.05 3.2)            R270
C4       100n               C0603            rc-master-smd         (5.35 1.925)          MR90
C5       33n                C0603            rc-master-smd         (5.275 1.925)         MR90
C6       100n               C0603            rc-master-smd         (5.525 2)             MR0
C7       100n               C0603            rc-master-smd         (4.8 2.75)            MR90
C8       100n               C0603            rc-master-smd         (4.675 2)             MR0
C9       100n               C0603            rc-master-smd         (5.55 2.75)           MR90
C10      33n                C0603            rc-master-smd         (5.525 1.925)         MR0
C11      33n                C0603            rc-master-smd         (4.875 2.75)          MR90
C12      33n                C0603            rc-master-smd         (4.675 1.925)         MR0
C13      33n                C0603            rc-master-smd         (5.475 2.75)          MR90
C14      4.7u               C1206            rc-master-smd         (5.275 1.6875)        MR180
C15      33n                C0603            rc-master-smd         (5.275 2.475)         MR270
C16      100n               C0603            rc-master-smd         (5.2 2.475)           MR270
C17      4.7u               C1206            rc-master-smd         (5.2625 2.625)        MR0
C18      2.2u               C0603            rc-master-smd         (5.425 2.475)         MR270
C19      470p               C0603            rc-master-smd         (5.35 2.475)          MR270
C20      2.7n               C0603            rc-master-smd         (5.125 1.925)         MR90
C21      33n                C0603            rc-master-smd         (5.05 1.925)          MR90
C22      2.2u               C1206            rc-master-smd         (4.8625 1.85)         MR90
C23      2.7n               C0603            rc-master-smd         (5.05 2.475)          MR270
C24      2.7n               C0603            rc-master-smd         (5.525 2.4)           MR0
C25      2.7n               C0603            rc-master-smd         (4.975 2.175)         MR180
C26      2.7n               C0603            rc-master-smd         (4.975 2.325)         MR180
C27      33n                C0603            rc-master-smd         (4.975 2.475)         MR270
C28      33n                C0603            rc-master-smd         (5.525 2.325)         MR0
C29      33n                C0603            rc-master-smd         (4.975 2.1)           MR180
C30      33n                C0603            rc-master-smd         (4.975 2.25)          MR180
C31      100n               C0603            rc-master-smd         (5.525 2.25)          MR0
C32      18p                C0603            rc-master-smd         (5.325 1.55)          MR0
C33      18p                C0603            rc-master-smd         (5.175 1.55)          MR180
C35      10n                C0603            rc-master-smd         (6.175 2.425)         MR270
C36      1u                 C0603            rc-master-smd         (1.8 0.5)             R0
C37      10n                C0603            rc-master-smd         (6.1 1.75)            MR0
C38      1u                 C0603            rc-master-smd         (1.8 0.125)           R0
C39      100n               C0603            rc-master-smd         (1.325 2.9)           MR90
C40      2.2u               C1206            rc-master-smd         (5.55 2.1625)         MR0
C41      100n               C0603            rc-master-smd         (4.6 0.35)            R180
C42      10n                C0603            rc-master-smd         (3.5875 0.5625)       MR270
C43      22u                C1206            rc-master-smd         (5.575 3.075)         MR0
C44      470n               C1206            rc-master-smd         (5.575 3.2)           MR0
C45      10n                C1206            rc-master-smd         (5.65 3.05)           R0
C46      47u                C3225            rc-master-smd         (5.875 3.05)          R0
C47      100n               C1206            rc-master-smd         (5.2 3.5375)          R180
C48      10u                C1206/T          rc-master-smd         (5.2 3.5375)          MR0
C49      10u                C1206/T          rc-master-smd         (5.375 3.5875)        R270
C50      100n               C0603            rc-master-smd         (4.3 3.35)            R180
C51      4.7u               C1206/T          rc-master-smd         (4.3 3.25)            R180
C52      100n               C0603            rc-master-smd         (4.75 3.475)          MR0
C53      100n               C0603            rc-master-smd         (4.75 3.35)           MR0
C54      4.7u               C1206/T          rc-master-smd         (4.75 3.25)           MR0
C73      10u                C1206/T          rc-master-smd         (4.05 2.95)           R90
C74      100n               C1206            rc-master-smd         (4.075 2.525)         MR270
C75      100u               C3528/T          rc-master-smd         (3.3 2.65)            R270
C76      10u                C1206/T          rc-master-smd         (3.3 1.475)           MR270
C77      10u                C1206/T          rc-master-smd         (3.925 1.5)           MR180
C78      10u                C1206/T          rc-master-smd         (3.275 1.95)          MR0
C79      100n               C0603            rc-master-smd         (3.4 2.175)           MR90
C80      100n               C0603            rc-master-smd         (3.975 1.7)           MR180
C81      100n               C0603            rc-master-smd         (3.725 1.425)         MR270
C82      100n               C0603            rc-master-smd         (3.5 1.425)           MR270
C83      100n               C0603            rc-master-smd         (3.225 1.725)         MR0
C84      100n               C0603            rc-master-smd         (3.85 2.175)          MR90
C85      10n                C0603            rc-master-smd         (3.775 2.175)         MR90
C86      10n                C0603            rc-master-smd         (3.975 1.625)         MR180
C87      10n                C0603            rc-master-smd         (3.425 1.425)         MR270
C88      10n                C0603            rc-master-smd         (3.225 1.65)          MR0
C89      100n               C0603            rc-master-smd         (3.55 2.175)          MR90
C90      100n               C0603            rc-master-smd         (3.225 1.8)           MR0
C91      100n               C0603            rc-master-smd         (3.975 1.775)         MR0
C92      100n               C0603            rc-master-smd         (3.65 1.425)          MR270
C93      10n                C0603            rc-master-smd         (3.625 2.175)         MR90
C94      10n                C0603            rc-master-smd         (3.575 1.425)         MR270
C95      330p               C0603            rc-master-smd         (1.25 2.6625)         MR270
C96      10n                C0603            rc-master-smd         (3.125 2.375)         MR270
C97      10n                C0603            rc-master-smd         (2.7875 1.45)         MR0
C98      680p               C0603            rc-master-smd         (1.6 2.775)           R90
C99      100n               C0603            rc-master-smd         (2.15 1.85)           R270
C100     47u                C1206/T          rc-master-smd         (2.05 1.85)           R270
C101     100n               C0603            rc-master-smd         (2.2875 2)            R0
C102     10u                C1206/T          rc-master-smd         (2.2875 2.1)          R0
C103     100n               C0603            rc-master-smd         (0.625 2.9)           MR90
C104     330p               C0603            rc-master-smd         (0.55 2.6625)         MR270
C105     680p               C0603            rc-master-smd         (0.9 2.775)           R90
C106     100p               C0603            rc-master-smd         (0.65 2.7)            R180
C107     220p               C0603            rc-master-smd         (0.7875 2.7)          R180
C108     2200p              C0603            rc-master-smd         (0.55 2.8125)         MR90
C109     10u                C1206/T          rc-master-smd         (0.45 2.775)          R90
C110     330p               C0603            rc-master-smd         (0.55 3.1375)         MR90
C111     680p               C0603            rc-master-smd         (0.9 3.175)           R90
C112     100p               C0603            rc-master-smd         (0.65 3.1)            R180
C113     220p               C0603            rc-master-smd         (0.7875 3.1)          R180
C114     2200p              C0603            rc-master-smd         (0.55 2.9875)         MR270
C115     10u                C1206/T          rc-master-smd         (0.45 3.025)          R270
C116     100p               C0603            rc-master-smd         (1.35 2.7)            R180
C117     220p               C0603            rc-master-smd         (1.4875 2.7)          R180
C118     2200p              C0603            rc-master-smd         (1.25 2.8125)         MR90
C119     10u                C1206/T          rc-master-smd         (1.15 2.775)          R90
C120     100n               C0603            rc-master-smd         (2.675 0.825)         MR180
C121     10u                C1206/T          rc-master-smd         (2.675 0.925)         MR0
C122     330p               C0603            rc-master-smd         (1.25 3.1375)         MR90
C123     680p               C0603            rc-master-smd         (1.6 3.175)           R90
C124     100p               C0603            rc-master-smd         (1.35 3.1)            R180
C129     220p               C0603            rc-master-smd         (1.4875 3.1)          R180
C130     2200p              C0603            rc-master-smd         (1.25 2.9875)         MR270
C131     10u                C1206/T          rc-master-smd         (1.15 3.025)          R270
C132     4.7u               C1206/T          rc-master-smd         (0.7 1.625)           MR180
C133     100p               C0603            rc-master-smd         (0.6 1.6)             R180
C134     100n               C0603            rc-master-smd         (0.75 1.2)            R0
C135     120p               C0603            rc-master-smd         (0.75 1.6)            R180
C136     120p               C0603            rc-master-smd         (0.6 1.2)             R180
C137     1n                 C0603            rc-master-smd         (0.725 1.475)         MR270
C138     1n                 C0603            rc-master-smd         (0.725 1.325)         MR270
C139     100p               C0603            rc-master-smd         (0.8 1.4)             MR270
C140     100n               C0603            rc-master-smd         (1.325 1.45)          MR90
C141     330p               C0603            rc-master-smd         (1.25 1.2125)         MR270
C142     100n               C0603            rc-master-smd         (2.6625 1.775)        MR270
C143     100n               C0603            rc-master-smd         (2.35 1.4875)         MR0
C144     100n               C0603            rc-master-smd         (2.2375 1.6)          MR90
C145     100n               C0603            rc-master-smd         (2.3625 1.9125)       MR180
C146     100n               C0603            rc-master-smd         (2.2375 1.8)          MR270
C147     4.7u               C1206/T          rc-master-smd         (0.7 2.375)           MR180
C148     100p               C0603            rc-master-smd         (0.6 2.35)            R180
C149     100n               C0603            rc-master-smd         (0.75 1.95)           R0
C150     120p               C0603            rc-master-smd         (0.75 2.35)           R180
C151     120p               C0603            rc-master-smd         (0.6 1.95)            R180
C152     1n                 C0603            rc-master-smd         (0.725 2.225)         MR270
C153     1n                 C0603            rc-master-smd         (0.725 2.075)         MR270
C154     100p               C0603            rc-master-smd         (0.8 2.15)            MR270
C155     680p               C0603            rc-master-smd         (1.6 1.325)           R90
C156     100p               C0603            rc-master-smd         (1.35 1.25)           R180
C157     220p               C0603            rc-master-smd         (1.4875 1.25)         R180
C158     2200p              C0603            rc-master-smd         (1.25 1.3625)         MR90
C159     10u                C1206/T          rc-master-smd         (1.15 1.325)          R90
C160     330p               C0603            rc-master-smd         (1.25 1.6875)         MR90
C161     680p               C0603            rc-master-smd         (1.6 1.725)           R90
C162     100p               C0603            rc-master-smd         (1.35 1.65)           R180
C163     220p               C0603            rc-master-smd         (1.4875 1.65)         R180
C164     2200p              C0603            rc-master-smd         (1.25 1.5375)         MR270
C165     10u                C1206/T          rc-master-smd         (1.15 1.575)          R270
C166     4.7u               C1206/T          rc-master-smd         (2.05 2.675)          MR0
C167     100p               C0603            rc-master-smd         (2.15 2.7)            R0
C168     100n               C0603            rc-master-smd         (2 3.1)               R180
C169     120p               C0603            rc-master-smd         (2 2.7)               R0
C170     120p               C0603            rc-master-smd         (2.15 3.1)            R0
C171     1n                 C0603            rc-master-smd         (2.025 2.825)         MR90
C172     1n                 C0603            rc-master-smd         (2.025 2.975)         MR90
C173     100p               C0603            rc-master-smd         (1.95 2.9)            MR90
C174     100n               C0603            rc-master-smd         (1.8625 2.15)         R90
C175     15u                C6032/T          rc-master-smd         (6.525 4.025)         R270
C176     68u                C7343/T          rc-master-smd         (6.675 3.4)           R90
C177     10n                C0603            rc-master-smd         (6.725 3.825)         MR90
C179     10n                C0603            rc-master-smd         (3.6625 0.5625)       MR270
C180     10n                C0603            rc-master-smd         (4 0.5625)            MR270
C181     10n                C0603            rc-master-smd         (3.9375 1.025)        MR270
C182     10n                C0603            rc-master-smd         (3.775 1.025)         MR270
C183     10n                C0603            rc-master-smd         (3.8375 0.5625)       MR270
C184     10n                C0603            rc-master-smd         (4.4125 0.5625)       MR270
C185     100u               C1210/T          rc-master-smd         (4.175 2.55)          R270
C186     10u                C1206/T          rc-master-smd         (3.95 2.525)          MR270
C187     5600p              C0603            rc-master-smd         (2.15 1.4875)         R90
C188     390p               C0603            rc-master-smd         (2.075 1.4875)        R90
C189     100n               C0603            rc-master-smd         (2.575 1.5625)        MR90
C190     10u                C1206/T          rc-master-smd         (3.5375 3.3125)       R90
C199     4.7u               C1206/T          rc-master-smd         (2.6 2.675)           MR0
C200     100p               C0603            rc-master-smd         (2.7 2.7)             R0
C201     100n               C0603            rc-master-smd         (2.55 3.1)            R180
C202     120p               C0603            rc-master-smd         (2.55 2.7)            R0
C203     120p               C0603            rc-master-smd         (2.7 3.1)             R0
C204     1n                 C0603            rc-master-smd         (2.575 2.825)         MR90
C205     1n                 C0603            rc-master-smd         (2.575 2.975)         MR90
